,
,
City/County,value
MANNFORD - CREEK COUNTY,003.5000000
STROUD - CREEK COUNTY,004.0000000
MILFAY,000.0000000
MOUNDS,004.0000000
OILTON,005.0000000
SAPULPA - CREEK COUNTY,004.0000000
SHAMROCK,003.0000000
SLICK,003.0000000
CREEK COUNTY,001.0000000
ARAPAHO,003.0000000
BUTLER,003.0000000
HAMMON - CUSTER COUNTY,003.0000000
CLINTON - CUSTER COUNTY,004.5000000
CUSTER CITY,004.0000000
MOOREWOOD,000.0000000
THOMAS,004.0000000
WEATHERFORD,004.5000000
CUSTER COUNTY,000.5000000
BERNICE,003.5000000
COLCORD,004.0000000
EUCHA,000.0000000
GROVE,003.4000000
JAY,003.0000000
KANSAS,004.0000000
KENWOOD,000.0000000
LEACH,000.0000000
OAKS - DELAWARE COUNTY,003.0000000
TWIN OAKS,000.0000000
WEST SILOAM SPRINGS,004.7500000
DELAWARE COUNTY,001.4000000
CAMARGO,004.0000000
FAY,000.0000000
LEEDEY,003.0000000
OAKWOOD,000.0000000
PUTNAM,000.0000000
SEILING,004.0000000
TALOGA,003.0000000
VICI,004.0000000
DEWEY COUNTY,001.7500000
ARNETT,003.0000000
FARGO,003.0000000
GAGE,003.0000000
HARMON,000.0000000
SHATTUCK,004.0000000
ELLIS COUNTY,002.0000000
BISON,000.0000000
BRECKENRIDGE,000.0000000
CARRIER,000.0000000
COVINGTON,004.0000000
DOUGLAS,002.0000000
DRUMMOND,003.0000000
ENID,004.2500000
FAIRMONT,003.0000000
GARBER,004.0000000
HAYWARD,000.0000000
HILLSDALE,001.0000000
HUNTER,002.0000000
KREMLIN,003.0000000
LAHOMA,004.0000000
NORTH ENID,004.0000000
WAUKOMIS,004.0000000
GARFIELD COUNTY,000.3500000
DAVIS - GARVIN COUNTY,003.0000000
ELMORE CITY,004.0000000
FOSTER,004.0000000
HENNEPIN,000.0000000
LINDSAY,004.0000000
MAYSVILLE,004.0000000
PAOLI,003.0000000
PAULS VALLEY,004.5000000
PERNELL,000.0000000
STRATFORD,004.0000000
WYNNEWOOD,004.0000000
GARVIN COUNTY,000.7500000
ALEX,003.0000000
AMBER,004.0000000
BRADLEY,003.0000000
COX CITY,000.0000000
BLANCHARD - GRADY COUNTY,004.0000000
CHICKASHA,003.7500000
MINCO,004.0000000
NINNEKAH,003.0000000
NORGE,001.0000000
POCASSET,001.5000000
RUSH SPRINGS,004.5000000
TUTTLE,004.0000000
VERDEN,003.7500000
GRADY COUNTY,000.7500000
DEER CREEK,003.0000000
JEFFERSON,000.0000000
LAMONT,004.0000000
MANCHESTER,000.0000000
MEDFORD,004.0000000
NASH,003.0000000
POND CREEK,004.0000000
RENFROW,004.0000000
SAND CREEK,000.0000000
WAKITA,004.0000000
GRANT COUNTY,001.2500000
BRINKMAN,000.0000000
GRANITE,003.0000000
MANGUM,003.0000000
REED,000.0000000
WILLOW,002.0000000
GREER COUNTY,002.0000000
GOULD,002.0000000
HOLLIS,003.0000000
VINSON,000.0000000
HARMON COUNTY,003.0000000
BUFFALO,003.0000000
LAVERNE,003.2500000
MAY,002.0000000
ROSSTON,000.0000000
SELMAN,000.0000000
HARPER COUNTY,002.0000000
CARTERSVILLE,000.0000000
HOYT,000.0000000
KEOTA,003.5000000
KINTA,002.5000000
LEQUIRE,000.0000000
MCCURTAIN,003.5000000
STIGLER,003.5000000
TAMAHA,003.0000000
WHITEFIELD,003.0000000
HASKELL COUNTY,002.0000000
ALLEN - HUGHES COUNTY,003.0000000
ATWOOD,002.0000000
CALVIN,004.0000000
DUSTIN,004.0000000
GERTY,002.0000000
HOLDENVILLE,005.0000000
LAMAR,003.0000000
